"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/01/2025";"0000";"21,1";"86,0";"929,6";"1,5";"120,0";"7,5";"";"30,1";"";""
"01/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"01/01/2025";"0600";"19,3";"93,0";"928,5";"2,6";"90,0";"6,3";"";"";"";""
"01/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"01/01/2025";"1200";"24,1";"73,0";"930,3";"1,0";"80,0";"0,0";"";"";"18,5";"8,0"
"01/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"01/01/2025";"1800";"25,7";"62,0";"927,5";"4,6";"150,0";"7,5";"";"";"";""
"01/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"02/01/2025";"0000";"21,8";"89,0";"929,3";"1,5";"140,0";"10,0";"";"31,5";"";""
"02/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"02/01/2025";"0600";"19,3";"93,0";"928,0";"4,1";"70,0";"0,0";"";"";"";""
"02/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"02/01/2025";"1200";"25,5";"63,0";"928,7";"3,1";"360,0";"8,8";"";"";"18,4";"1,0"
"02/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"02/01/2025";"1800";"31,1";"43,0";"925,3";"6,7";"290,0";"7,5";"";"";"";""
"02/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"03/01/2025";"0000";"22,2";"84,0";"928,0";"4,1";"70,0";"7,5";"";"30,4";"";""
"03/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"03/01/2025";"0600";"20,6";"90,0";"925,3";"1,0";"80,0";"2,5";"";"";"";""
"03/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"03/01/2025";"1200";"25,5";"67,0";"927,1";"6,2";"320,0";"5,0";"";"";"20,4";"0,4"
"03/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"03/01/2025";"1800";"30,3";"54,0";"924,4";"6,7";"310,0";"7,5";"";"";"";""
"03/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"04/01/2025";"0000";"23,5";"79,0";"926,1";"3,1";"360,0";"6,3";"";"29,9";"";""
"04/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"04/01/2025";"0600";"22,4";"76,0";"924,8";"3,1";"310,0";"3,8";"";"";"";""
"04/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"04/01/2025";"1200";"25,6";"66,0";"926,9";"4,6";"320,0";"7,5";"";"";"21,6";"0,5"
"04/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"04/01/2025";"1800";"29,2";"55,0";"924,5";"5,7";"320,0";"8,8";"";"";"";""
"04/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"05/01/2025";"0000";"23,3";"85,0";"925,8";"1,5";"90,0";"8,8";"";"28,5";"";""
"05/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"05/01/2025";"0600";"19,6";"93,0";"926,0";"4,1";"50,0";"7,5";"";"";"";""
"05/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"05/01/2025";"1200";"25,7";"66,0";"927,2";"2,6";"300,0";"1,3";"";"";"18,5";"14,0"
"05/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"05/01/2025";"1800";"25,4";"69,0";"925,9";"2,6";"150,0";"8,8";"";"";"";""
"05/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"06/01/2025";"0000";"21,0";"84,0";"928,0";"3,6";"110,0";"10,0";"";"31,7";"";""
"06/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"06/01/2025";"0600";"20,6";"87,0";"926,5";"2,1";"100,0";"8,8";"";"";"";""
"06/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"06/01/2025";"1200";"23,6";"74,0";"927,9";"3,6";"60,0";"10,0";"";"";"19,8";"0,0"
"06/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"06/01/2025";"1800";"25,5";"70,0";"926,1";"5,1";"180,0";"8,8";"";"";"";""
"06/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"07/01/2025";"0000";"21,9";"82,0";"928,0";"3,1";"90,0";"8,8";"";"30,7";"";""
"07/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"07/01/2025";"0600";"20,9";"85,0";"926,3";"3,1";"110,0";"10,0";"";"";"";""
"07/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"07/01/2025";"1200";"24,0";"74,0";"927,5";"2,1";"90,0";"8,8";"";"";"20,6";"0,0"
"07/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"07/01/2025";"1800";"23,0";"82,0";"926,6";"2,6";"160,0";"8,8";"";"";"";""
"07/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"08/01/2025";"0000";"20,5";"81,0";"928,1";"3,1";"110,0";"0,0";"";"27,8";"";""
"08/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"08/01/2025";"0600";"18,8";"93,0";"926,8";"1,0";"90,0";"7,5";"";"";"";""
"08/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"08/01/2025";"1200";"21,2";"79,0";"928,7";"4,1";"70,0";"8,8";"";"";"18,8";"0,5"
"08/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"08/01/2025";"1800";"25,1";"68,0";"925,5";"5,7";"140,0";"7,5";"";"";"";""
"08/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"09/01/2025";"0000";"20,7";"84,0";"927,7";"3,1";"130,0";"7,5";"";"23,6";"";""
"09/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"09/01/2025";"0600";"19,0";"93,0";"926,4";"2,1";"150,0";"10,0";"";"";"";""
"09/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"09/01/2025";"1200";"20,6";"79,0";"927,9";"2,1";"110,0";"10,0";"";"";"18,9";"2,0"
"09/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"09/01/2025";"1800";"23,3";"69,0";"925,9";"3,6";"140,0";"7,5";"";"";"";""
"09/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"10/01/2025";"0000";"19,5";"83,0";"927,8";"3,6";"110,0";"8,8";"";"25,0";"";""
"10/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"10/01/2025";"0600";"18,9";"88,0";"926,6";"1,5";"150,0";"8,8";"";"";"";""
"10/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"10/01/2025";"1200";"22,1";"67,0";"928,6";"2,6";"150,0";"8,8";"";"";"18,3";"0,0"
"10/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"10/01/2025";"1800";"24,8";"63,0";"926,7";"4,1";"170,0";"8,8";"";"";"";""
"10/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"11/01/2025";"0000";"18,7";"73,0";"927,9";"2,1";"140,0";"0,0";"";"27,6";"";""
"11/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"11/01/2025";"0600";"15,5";"93,0";"926,4";"1,0";"80,0";"0,0";"";"";"";""
"11/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"11/01/2025";"1200";"19,4";"77,0";"928,3";"3,6";"40,0";"7,5";"";"";"14,1";"0,0"
"11/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"11/01/2025";"1800";"27,1";"56,0";"926,2";"4,6";"150,0";"3,8";"";"";"";""
"11/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"12/01/2025";"0000";"20,4";"77,0";"928,0";"3,6";"110,0";"8,8";"";"24,4";"";""
"12/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"12/01/2025";"0600";"19,2";"83,0";"926,3";"2,6";"80,0";"7,5";"";"";"";""
"12/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"12/01/2025";"1200";"20,9";"76,0";"928,9";"4,1";"120,0";"8,8";"";"";"18,4";"0,0"
"12/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"12/01/2025";"1800";"23,2";"66,0";"926,5";"3,1";"140,0";"10,0";"";"";"";""
"12/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"13/01/2025";"0000";"19,3";"81,0";"928,1";"3,6";"130,0";"10,0";"";"23,2";"";""
"13/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"13/01/2025";"0600";"18,1";"83,0";"927,4";"2,6";"130,0";"8,8";"";"";"";""
"13/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"13/01/2025";"1200";"20,0";"71,0";"928,6";"3,6";"120,0";"8,8";"";"";"17,2";"0,1"
"13/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"13/01/2025";"1800";"22,0";"65,0";"927,0";"3,6";"160,0";"10,0";"";"";"";""
"13/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"14/01/2025";"0000";"18,3";"73,0";"928,2";"2,6";"140,0";"3,8";"";"22,7";"";""
"14/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"14/01/2025";"0600";"14,9";"91,0";"926,9";"1,0";"90,0";"0,0";"";"";"";""
"14/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"14/01/2025";"1200";"19,8";"77,0";"928,0";"3,1";"110,0";"8,8";"";"";"14,9";"0,0"
"14/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
